City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
631,Half Moon Bay,US,37.4636,-122.4286,68.41,57,20,9.22,few clouds
632,Grants,US,35.1473,-107.8514,71.83,12,75,18.41,broken clouds
633,Sechura,PE,-5.5569,-80.8222,78.53,59,94,12.91,overcast clouds
634,Pemangkat,ID,1.1667,108.9667,77.31,90,91,6.24,overcast clouds
635,Coari,BR,-4.085,-63.1414,80.73,91,99,1.28,overcast clouds
636,Tigil,RU,57.8,158.6667,17.62,93,59,3.8,broken clouds
637,La Primavera,CO,5.4906,-70.4092,84.74,59,92,4.85,heavy intensity rain
638,Chimbote,PE,-9.0853,-78.5783,70.12,76,39,11.7,scattered clouds
639,Mandalgovi,MN,45.7625,106.2708,46.51,33,100,7.61,overcast clouds
640,Mazamari,PE,-11.3258,-74.5308,81.37,70,97,1.83,overcast clouds
641,Kemerovo,RU,55.3333,86.0833,33.49,59,0,11.18,clear sky
642,Neath,GB,51.6632,-3.8044,52.21,74,98,1.01,overcast clouds
643,Bo Rai,TH,12.5728,102.5371,75.52,84,87,2.19,overcast clouds
644,Kurunegala,LK,7.4863,80.3623,74.82,95,100,2.57,overcast clouds
645,Hermiston,US,45.8404,-119.2895,59.14,45,40,8.05,scattered clouds
646,Gravdal,NO,68.1214,13.5031,44.49,81,0,0.0,clear sky
647,Pecos,US,31.4229,-103.4932,84.29,37,100,17.27,overcast clouds
648,Solwezi,ZM,-12.1688,26.3894,60.96,96,18,3.29,few clouds
649,Bathsheba,BB,13.2167,-59.5167,83.01,65,20,20.71,few clouds
650,Broome,US,42.2506,-75.833,40.69,67,100,28.77,overcast clouds
651,Turayf,SA,31.6725,38.6637,62.4,30,32,18.52,scattered clouds
652,Fez,MA,34.0372,-4.9998,57.45,67,75,14.97,broken clouds
653,Urucui,BR,-7.2294,-44.5561,81.75,72,100,3.74,overcast clouds
654,Georgiyevka,KZ,43.0369,74.7114,59.04,72,75,6.71,moderate rain
655,Saint-Augustin,CA,51.226,-58.6502,27.73,81,100,12.75,overcast clouds
656,Gazli,UZ,40.1333,63.45,59.94,74,100,11.45,overcast clouds
657,Vavozh,RU,56.7751,51.931,34.41,100,100,4.0,light snow
658,Pontianak,ID,-0.0333,109.3333,75.18,100,100,2.3,overcast clouds
659,San Ramon,US,37.7799,-121.978,67.82,54,20,12.66,few clouds
660,Winslow,US,35.0242,-110.6974,84.38,6,0,34.52,clear sky
661,Hami,CN,42.8,93.45,61.05,12,100,2.39,overcast clouds
662,Bima,ID,-8.4667,118.7167,75.69,93,90,1.12,overcast clouds
663,Noumea,NC,-22.2763,166.4572,80.01,99,0,3.53,clear sky
664,Dwarka,IN,22.2394,68.9678,79.48,85,96,14.43,overcast clouds
665,Morant Bay,JM,17.8815,-76.4093,78.42,76,17,5.37,few clouds
666,Falmouth,GB,50.1544,-5.0711,47.3,75,70,13.94,broken clouds
667,Estevan,CA,49.1334,-102.9842,34.14,87,100,18.97,light snow
668,Ntungamo,UG,-0.8833,29.65,64.38,96,100,2.55,light rain
669,Northam,GB,51.0333,-4.2167,50.4,87,72,13.49,broken clouds
670,Bontang,ID,0.1333,117.5,74.7,92,100,5.82,moderate rain
671,Sapouy,BF,11.5544,-1.7736,89.26,26,69,4.47,broken clouds
672,Biak,ID,-0.9131,122.8766,76.44,85,96,2.62,overcast clouds
673,Lensk,RU,60.7253,114.9278,18.32,94,100,8.37,overcast clouds
674,Puerto Escondido,MX,15.85,-97.0667,88.63,62,0,9.22,clear sky
675,Sturgis,US,41.7992,-85.4192,44.4,52,100,11.5,overcast clouds
676,Salinopolis,BR,-0.6136,-47.3561,80.06,82,68,7.05,broken clouds
677,Yeniseysk,RU,58.4497,92.1703,32.49,82,100,9.08,light snow
678,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.29,82,80,8.03,broken clouds
679,Olafsvik,IS,64.8945,-23.7142,42.13,75,100,14.0,overcast clouds
680,Yamada,JP,39.4667,141.95,42.57,67,0,4.74,clear sky
681,Tucumcari,US,35.1717,-103.725,83.95,18,0,21.85,clear sky
682,Jablah,SY,35.3614,35.9256,66.49,68,75,11.5,broken clouds
