City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Marquette,US,36.77,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
564,Kuito,AO,60.22,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
565,Middle Island,US,50.85,overcast clouds,40.8843,-72.9373,Cathedral pines
566,Karratha,AU,78.08,few clouds,-20.7377,116.8463,ibis Styles Karratha
567,Tuatapere,NZ,55.08,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
568,Kamenka,RU,56.37,overcast clouds,51.3223,42.7678,
569,Axim,GH,80.53,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
570,Haines Junction,CA,31.71,overcast clouds,60.7522,-137.5108,Parkside Inn
571,Venkatagiri,IN,80.62,clear sky,13.9667,79.5833,Sri VishnuYamaha
573,Barcelos,PT,51.94,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
574,Palu,ID,74.68,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
575,Hambantota,LK,79.34,overcast clouds,6.1241,81.1185,Bungalow 63
576,Katangli,RU,33.91,light snow,51.7102,143.2326,
577,Cristolt,RO,36.93,broken clouds,47.2,23.4333,Moara Din Padure- Valeni- Cristolț- judet Salaj
578,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
579,Kokkola,FI,40.93,clear sky,63.8385,23.1307,Hotel Kokkola
580,Redcliffe,AU,66.88,few clouds,-27.2307,153.0973,Scarborough Beach Resort
581,Tiznit,MA,65.59,broken clouds,29.5833,-9.5,
582,Katobu,ID,74.64,overcast clouds,-4.9408,122.5276,La Ode Husein
583,Whitehorse,CA,35.02,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
584,Dicabisagan,PH,76.46,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
585,Beipiao,CN,57.6,clear sky,41.7919,120.7792,Beipiao Hotel
586,Boulsa,BF,94.71,overcast clouds,12.6675,-0.5758,Auberge Relwende
587,Cerrito,CO,55.89,overcast clouds,6.8432,-72.694,Yariseth juliana
588,Paysandu,UY,73.87,overcast clouds,-32.3214,-58.0756,Gran Hotel Paysandú
589,Honiara,SB,80.13,scattered clouds,-9.4333,159.95,Heritage Park Hotel
590,Sorrento,IT,54.66,broken clouds,40.626,14.3744,Hilton Sorrento Palace
591,Mwense,ZM,66.33,light rain,-10.3845,28.698,Mwense Council Guest House
592,Pechenga,RU,35.24,overcast clouds,69.5259,31.1703,
593,Locri,IT,56.32,clear sky,38.2414,16.2623,Grand Hotel President
595,Aklavik,CA,23.81,scattered clouds,68.2191,-135.0107,Aklavik Inn
596,Paamiut,GL,20.46,scattered clouds,61.994,-49.6678,Pistut
597,Nemuro,JP,39.04,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
598,Valdivia,CL,53.69,moderate rain,-39.8142,-73.2459,Hostal Entre Rios
599,Canico,PT,63.23,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
600,Palmas Bellas,PA,81.61,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
601,Sinnamary,GF,78.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
602,Shugurovo,RU,52.54,overcast clouds,54.5083,52.1326,
603,Carhuaz,PE,62.82,light rain,-9.2819,-77.6447,Montaña Jazz
604,Santa Isabel Do Rio Negro,BR,77.97,moderate rain,-0.4139,-65.0192,Hotel GSA
605,Kendari,ID,74.7,overcast clouds,-3.945,122.4989,Hotel Wixel
606,Tahara,JP,54.95,clear sky,34.6667,137.2667,Tahara City Hotel
607,Hovd,MN,34.12,snow,48.0056,91.6419,Hotel Khovd
608,Vila Do Maio,CV,72.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
